apn,address,city,state,zip,owner,phone,email,value,type,dnc,status,mail_addr,mail_zip,beds,baths,sqft,lot_sqft,year_built,years_owned,property_type,lat,lon
7504-028-068,2590 Anza Ave,Rolling Hills Estates,CA,90274,M. Mockton,,,2824000,Owner,,new,2590 Anza Ave,90274,5,4,4200,21500,1949,7,Single Family,33.778671,-118.354587
7906-023-039,1569 Esplanade,Redondo Beach,CA,90277,H. Sample,,,1980000,Owner,,new,1569 Esplanade,90277,5,5,3370,12900,2000,6,Single Family,33.853919,-118.398448
7208-036-017,340 Hawthorne Blvd,Torrance,CA,90503,M. Mockton,,,1047000,Owner,,new,340 Hawthorne Blvd,90503,3,3,1930,3400,2000,40,Single Family,33.826203,-118.324814
7911-034-093,621 Anza Ave,Rolling Hills Estates,CA,90274,H. Example,,,2891000,Owner,,new,621 Anza Ave,90274,5,5,3940,18300,1975,27,Single Family,33.799773,-118.357115
7414-028-001,5722 Rolling Hills Rd,Rolling Hills Estates,CA,90274,H. Dummett,,,1895000,Owner,,new,5722 Rolling Hills Rd,90274,4,3,2430,11700,2004,6,Condo,33.79888,-118.373883
7751-001-007,6237 Via Campesina,Rancho Palos Verdes,CA,90275,B. Sampleton,,,2260000,Absentee,,new,7201 Ventura Blvd,90210,5,4,3680,7300,2014,27,Single Family,33.742851,-118.399308
7987-002-027,2032 Prospect Ave,Rancho Palos Verdes,CA,90275,G. Placeholder,,,1500000,Owner,,new,2032 Prospect Ave,90275,3,3,1880,4900,1975,25,Single Family,33.761948,-118.400821
7727-017-065,3150 Granvia Altamira,Manhattan Beach,CA,90266,L. Dummett,,,3376000,Owner,,new,3150 Granvia Altamira,90266,4,3,2630,5900,2008,11,Single Family,33.866834,-118.406551
7985-014-098,1996 Camino Real,Rancho Palos Verdes,CA,90275,K. Dummett,,,2094000,Owner,,new,1996 Camino Real,90275,4,4,2620,8700,1951,5,Single Family,33.741399,-118.370159
7943-016-077,2471 Anza Ave,Torrance,CA,90503,B. Stubbs,,,976000,Owner,,new,2471 Anza Ave,90503,3,2,1660,4300,1959,31,Single Family,33.840841,-118.32276
7339-022-097,463 Anza Ave,Palos Verdes Estates,CA,90274,H. Placeholder,,,2903000,Owner,,new,463 Anza Ave,90274,5,4,3610,9500,1967,18,Single Family,33.795864,-118.383001
7419-030-095,4559 Palos Verdes Dr,Palos Verdes Estates,CA,90274,D. Sampleton,,,2538000,Owner,,new,4559 Palos Verdes Dr,90274,4,4,2360,10700,1948,36,Single Family,33.775152,-118.40714
7658-003-045,1484 Rolling Hills Rd,Torrance,CA,90503,M. Example,,,1112000,Owner,,new,1484 Rolling Hills Rd,90503,3,3,2140,5800,1960,37,Single Family,33.831313,-118.341141
7928-032-001,4681 Hawthorne Blvd,Rolling Hills Estates,CA,90274,C. Mockton,,,2403000,Absentee,,new,1581 Wilshire Blvd,89109,4,4,3020,16100,1973,40,Single Family,33.798769,-118.340215
7492-026-028,2277 Aviation Blvd,Rolling Hills Estates,CA,90274,A. Testerman,,,1826000,Owner,,new,2277 Aviation Blvd,90274,3,3,1630,8700,2002,26,Single Family,33.800679,-118.35618
7510-003-050,131 Anza Ave,Palos Verdes Estates,CA,90274,G. Fixture,,,2007000,Owner,,new,131 Anza Ave,90274,4,4,2440,4000,1986,38,Single Family,33.770597,-118.376815
7599-010-023,1850 Camino Real,Rancho Palos Verdes,CA,90275,C. Mockton,,,1897000,Owner,,new,1850 Camino Real,90275,4,4,3040,9000,2018,13,Single Family,33.761185,-118.390237
7190-027-013,5858 Palos Verdes Dr,Rancho Palos Verdes,CA,90275,C. Placeholder,,,1911000,Owner,,new,5858 Palos Verdes Dr,90275,4,4,3180,6100,1952,12,Single Family,33.73932,-118.389963
7567-010-027,269 Vista Del Mar,Redondo Beach,CA,90277,A. Fixture,,,2257000,Owner,,new,269 Vista Del Mar,90277,5,4,4680,16400,2016,15,Single Family,33.842342,-118.371006
7601-005-018,5329 Palos Verdes Dr,Palos Verdes Estates,CA,90274,A. Mockton,,,3074000,Absentee,,new,267 Wilshire Blvd,94105,5,4,4740,8800,1994,23,Single Family,33.791198,-118.404372
7958-003-078,5781 Granvia Altamira,Palos Verdes Estates,CA,90274,E. Example,,,3425000,Owner,,new,5781 Granvia Altamira,90274,5,4,4630,18700,2003,1,Single Family,33.766579,-118.386976
7843-039-060,683 Palos Verdes Dr,Rolling Hills Estates,CA,90274,J. Fixture,,,3150000,Owner,,new,683 Palos Verdes Dr,90274,5,4,4540,11600,2012,14,Single Family,33.797418,-118.346179
7521-024-046,3376 Anza Ave,Rancho Palos Verdes,CA,90275,H. Sampleton,,,1572000,Owner,,new,3376 Anza Ave,90275,4,4,2350,6600,2018,15,Single Family,33.760738,-118.391386
7268-024-059,139 Silver Spur Rd,Manhattan Beach,CA,90266,J. Fixture,,,3158000,Owner,,new,139 Silver Spur Rd,90266,3,3,1990,10900,1996,24,Single Family,33.874673,-118.415025
7880-037-044,3317 Prospect Ave,Palos Verdes Estates,CA,90274,A. Example,,,3103000,Owner,,new,3317 Prospect Ave,90274,5,4,4330,12500,1969,22,Single Family,33.786428,-118.408738
7104-018-034,1321 Granvia Altamira,Rancho Palos Verdes,CA,90275,A. Testerman,,,1909000,Owner,,new,1321 Granvia Altamira,90275,4,3,3170,14400,1993,0,Single Family,33.739414,-118.375751
7378-033-030,6272 Camino Real,Palos Verdes Estates,CA,90274,F. Mockton,,,2446000,Absentee,,new,2405 Ventura Blvd,90210,5,5,3380,17700,2006,23,Single Family,33.781787,-118.384224
7237-034-092,569 Calle Mayor,Torrance,CA,90503,L. Dummett,,,1911000,Owner,,new,569 Calle Mayor,90503,5,4,4390,13600,1972,41,Single Family,33.833887,-118.348537
7405-035-079,4801 Deep Valley Dr,Rolling Hills Estates,CA,90274,E. Stubbs,,,3289000,Owner,,new,4801 Deep Valley Dr,90274,5,5,4630,22600,1981,37,Single Family,33.786688,-118.346147
7308-004-010,6713 Aviation Blvd,Rolling Hills Estates,CA,90274,C. Testerman,,,2046000,Owner,,new,6713 Aviation Blvd,90274,4,3,2750,13100,1955,22,Single Family,33.77973,-118.340458
7334-028-069,3799 Via Campesina,Redondo Beach,CA,90277,G. Demoworth,,,2940000,Owner,,new,3799 Via Campesina,90277,5,4,4690,19400,1992,11,Single Family,33.850954,-118.371269
7494-031-079,5986 Crenshaw Blvd,Redondo Beach,CA,90277,F. Fixture,,,2249000,Owner,,new,5986 Crenshaw Blvd,90277,5,4,4490,23000,1994,0,Single Family,33.839392,-118.37787
7931-016-060,6275 Highland Ave,Torrance,CA,90503,G. Sampleton,,,1465000,Absentee,,new,2162 Ventura Blvd,89109,4,4,3090,13600,1993,12,Single Family,33.830833,-118.33539
7611-012-096,5187 Anza Ave,Manhattan Beach,CA,90266,M. Stubbs,,,3319000,Owner,,new,5187 Anza Ave,90266,5,5,4340,20700,1975,31,Condo,33.896564,-118.417445
7264-015-076,1595 Anza Ave,Rolling Hills Estates,CA,90274,F. Sampleton,,,2889000,Owner,,new,1595 Anza Ave,90274,5,5,4320,15600,1962,31,Condo,33.79353,-118.360687
7223-034-091,2368 Vista Del Mar,Palos Verdes Estates,CA,90274,E. Placeholder,,,1883000,Owner,,new,2368 Vista Del Mar,90274,3,3,1980,8800,1972,22,Single Family,33.771053,-118.401615
7683-035-073,4185 Via Campesina,Palos Verdes Estates,CA,90274,J. Sampleton,,,2800000,Owner,,new,4185 Via Campesina,90274,5,5,4380,23900,2016,29,Single Family,33.763097,-118.393037
7841-018-092,292 Esplanade,Redondo Beach,CA,90277,F. Sample,,,1370000,Owner,,new,292 Esplanade,90277,3,2,1780,5000,1954,31,Single Family,33.847155,-118.396318
7878-023-030,4081 Palos Verdes Dr,Rolling Hills Estates,CA,90274,D. Placeholder,,,1868000,Owner,,new,4081 Palos Verdes Dr,90274,3,3,2090,3600,1952,35,Single Family,33.792693,-118.35229
7938-008-092,3735 Via Campesina,Redondo Beach,CA,90277,D. Sample,,,1543000,Owner,,new,3735 Via Campesina,90277,3,2,1660,7500,2010,15,Single Family,33.86364,-118.383831
7974-023-016,6400 Rolling Hills Rd,Palos Verdes Estates,CA,90274,A. Placeholder,,,3014000,Owner,,new,6400 Rolling Hills Rd,90274,5,4,4160,8300,1953,7,Single Family,33.769107,-118.406921
7737-038-007,835 Crenshaw Blvd,Rancho Palos Verdes,CA,90275,G. Dummett,,,3412000,Absentee,,new,2367 Wilshire Blvd,91403,5,4,4580,10200,1957,10,Single Family,33.751368,-118.394429
7652-010-002,1998 Esplanade,Palos Verdes Estates,CA,90274,E. Sample,,,3402000,Absentee,,new,8446 Wilshire Blvd,94105,5,4,4190,9500,1949,1,Condo,33.783874,-118.402768
7957-010-035,6737 Prospect Ave,Redondo Beach,CA,90277,E. Demoworth,,,2652000,Absentee,,new,2214 Main St,90210,5,4,4610,18400,2003,40,Single Family,33.843588,-118.39396
7170-033-042,4915 Prospect Ave,Rancho Palos Verdes,CA,90275,A. Fixture,,,1700000,Owner,,new,4915 Prospect Ave,90275,3,2,2220,6300,2016,6,Single Family,33.754418,-118.378216
7110-030-068,5938 Palos Verdes Dr,Palos Verdes Estates,CA,90274,B. Placeholder,,,2666000,Owner,,new,5938 Palos Verdes Dr,90274,3,3,1930,6900,1989,21,Single Family,33.785597,-118.398283
7941-001-024,4557 Hawthorne Blvd,Palos Verdes Estates,CA,90274,G. Testerman,,,3166000,Owner,,new,4557 Hawthorne Blvd,90274,5,5,4560,16800,1973,30,Single Family,33.774812,-118.407135
7641-005-084,906 Granvia Altamira,Redondo Beach,CA,90277,B. Testerman,,,1410000,Absentee,,new,3873 Main St,90210,4,3,2320,11700,2014,37,Single Family,33.840285,-118.394082
7937-033-095,6717 Aviation Blvd,Redondo Beach,CA,90277,B. Sample,,,1489000,Owner,,new,6717 Aviation Blvd,90277,3,2,2080,7800,1974,18,Single Family,33.847089,-118.37851
7457-003-041,5945 Highland Ave,Palos Verdes Estates,CA,90274,J. Dummett,,,3430000,Owner,,new,5945 Highland Ave,90274,5,4,4690,25700,2007,4,Single Family,33.777693,-118.387899
7741-018-015,297 Rolling Hills Rd,Torrance,CA,90503,G. Stubbs,,,2344000,Owner,,new,297 Rolling Hills Rd,90503,5,4,4560,19300,2012,1,Single Family,33.8385,-118.347411
7789-011-031,5765 Aviation Blvd,Redondo Beach,CA,90277,A. Demoworth,,,2436000,Owner,,new,5765 Aviation Blvd,90277,5,5,4170,8600,1979,1,Single Family,33.856082,-118.393784
7490-006-094,5539 Aviation Blvd,Manhattan Beach,CA,90266,E. Dummett,,,3631000,Owner,,new,5539 Aviation Blvd,90266,5,5,3460,13500,1953,26,Condo,33.88394,-118.393904
7603-012-012,423 Anza Ave,Redondo Beach,CA,90277,M. Testerman,,,1906000,Owner,,new,423 Anza Ave,90277,4,4,3020,16400,1973,38,Single Family,33.841589,-118.398771
7117-026-094,6190 Anza Ave,Redondo Beach,CA,90277,M. Placeholder,,,1407000,Absentee,,new,4951 Wilshire Blvd,90210,3,2,1690,8800,2001,9,Single Family,33.842375,-118.393483
7795-013-083,2219 Prospect Ave,Manhattan Beach,CA,90266,K. Example,,,3038000,Owner,,new,2219 Prospect Ave,90266,2,2,1570,8400,1960,5,Single Family,33.874141,-118.415278
7480-010-068,908 Granvia Altamira,Rancho Palos Verdes,CA,90275,E. Dummett,,,2137000,Absentee,,new,1469 Main St,91403,5,4,3780,14500,1952,6,Single Family,33.727039,-118.384309
7537-036-037,4933 Prospect Ave,Rancho Palos Verdes,CA,90275,K. Dummett,,,2705000,Owner,,new,4933 Prospect Ave,90275,5,5,4610,9000,1954,11,Single Family,33.74937,-118.386648
7641-033-098,3158 Calle Mayor,Rolling Hills Estates,CA,90274,K. Demoworth,,,2013000,Owner,,new,3158 Calle Mayor,90274,4,3,2460,8100,1987,10,Single Family,33.781741,-118.34154
7929-009-003,6041 Via Campesina,Rancho Palos Verdes,CA,90275,L. Fixture,,,2980000,Owner,,new,6041 Via Campesina,90275,5,5,4550,11900,1977,41,Single Family,33.728444,-118.372879
7403-010-094,5624 Highland Ave,Palos Verdes Estates,CA,90274,L. Placeholder,,,2918000,Owner,,new,5624 Highland Ave,90274,5,5,3730,9100,2000,29,Single Family,33.777923,-118.381578
7922-038-051,4715 Highland Ave,Rancho Palos Verdes,CA,90275,J. Fixture,,,1820000,Owner,,new,4715 Highland Ave,90275,2,2,1410,5800,2005,27,Single Family,33.737765,-118.384829
7678-035-085,5546 Silver Spur Rd,Redondo Beach,CA,90277,L. Demoworth,,,1701000,Owner,,new,5546 Silver Spur Rd,90277,4,4,2790,6200,1965,20,Single Family,33.837684,-118.398467
7819-022-071,2370 Crenshaw Blvd,Torrance,CA,90503,K. Sample,,,2227000,Owner,,new,2370 Crenshaw Blvd,90503,5,4,4330,20500,1953,4,Single Family,33.841683,-118.337984
7755-005-069,5133 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,H. Mockton,,,3044000,Owner,,new,5133 Hawthorne Blvd,90275,5,4,3850,7100,1965,31,Single Family,33.75767,-118.398794
7324-011-016,263 Palos Verdes Dr,Manhattan Beach,CA,90266,H. Sample,,,4151000,Owner,,new,263 Palos Verdes Dr,90266,5,4,3780,12400,1975,5,Single Family,33.892776,-118.416122
7785-023-019,3789 Anza Ave,Rolling Hills Estates,CA,90274,F. Example,,,2930000,Owner,,new,3789 Anza Ave,90274,5,5,4470,13000,1999,35,Condo,33.805107,-118.352619
7864-029-008,2228 Hawthorne Blvd,Palos Verdes Estates,CA,90274,M. Fixture,,,2414000,Owner,,new,2228 Hawthorne Blvd,90274,4,4,3170,8900,1956,32,Single Family,33.780092,-118.378332
7503-014-055,3839 Granvia Altamira,Rancho Palos Verdes,CA,90275,C. Dummett,,,1513000,Absentee,,new,5988 Main St,91403,3,3,1780,9200,1966,3,Single Family,33.753608,-118.392089
7362-012-058,302 Granvia Altamira,Rancho Palos Verdes,CA,90275,H. Mockton,,,2712000,Owner,,new,302 Granvia Altamira,90275,5,4,4460,7100,1981,20,Single Family,33.730849,-118.391302
7182-014-070,451 Calle Mayor,Rancho Palos Verdes,CA,90275,B. Example,,,2545000,Absentee,,new,3053 Wilshire Blvd,91403,5,4,4580,14900,1966,3,Single Family,33.73091,-118.399701
7317-019-061,4334 Aviation Blvd,Rolling Hills Estates,CA,90274,B. Stubbs,,,2731000,Absentee,,new,2187 Ventura Blvd,89109,5,5,4450,11500,1977,15,Single Family,33.779009,-118.373945
7287-014-071,1659 Anza Ave,Rancho Palos Verdes,CA,90275,H. Stubbs,,,2553000,Absentee,,new,7495 Main St,89109,5,5,4760,12200,2000,12,Single Family,33.74328,-118.401647
7108-011-049,1271 Silver Spur Rd,Rolling Hills Estates,CA,90274,A. Demoworth,,,2004000,Owner,,new,1271 Silver Spur Rd,90274,3,2,2250,5000,1954,13,Single Family,33.792416,-118.345908
7771-027-056,4357 Vista Del Mar,Torrance,CA,90503,H. Testerman,,,650000,Owner,,new,4357 Vista Del Mar,90503,2,1,1400,3800,1976,15,Single Family,33.818735,-118.350886
7912-015-004,1691 Calle Mayor,Manhattan Beach,CA,90266,B. Dummett,,,3023000,Absentee,,new,2072 Main St,91403,4,3,3160,8000,2005,21,Single Family,33.881486,-118.397042
7944-006-063,6313 Aviation Blvd,Manhattan Beach,CA,90266,H. Testerman,,,3426000,Absentee,,new,4042 Ventura Blvd,94105,4,3,2910,9900,1995,0,Single Family,33.868791,-118.395654
7482-028-064,4054 Granvia Altamira,Manhattan Beach,CA,90266,L. Dummett,,,3840000,Owner,,new,4054 Granvia Altamira,90266,5,4,4690,24300,1953,4,Single Family,33.900523,-118.398346
7773-014-092,292 Anza Ave,Torrance,CA,90503,L. Sample,,,1688000,Owner,,new,292 Anza Ave,90503,5,5,3730,14800,1951,28,Single Family,33.81791,-118.329031
7314-013-069,5441 Camino Real,Rolling Hills Estates,CA,90274,C. Sample,,,2152000,Owner,,new,5441 Camino Real,90274,3,2,2000,7000,2003,29,Single Family,33.772458,-118.365411
7748-007-027,2659 Highland Ave,Rancho Palos Verdes,CA,90275,G. Sample,,,1217000,Absentee,,new,2187 Ventura Blvd,89109,2,1,1400,4400,1962,8,Single Family,33.745689,-118.376972
7435-007-034,1546 Camino Real,Manhattan Beach,CA,90266,G. Demoworth,,,3753000,Owner,,new,1546 Camino Real,90266,4,3,2820,6100,2015,4,Single Family,33.874016,-118.417022
7486-039-005,2670 Crenshaw Blvd,Rolling Hills Estates,CA,90274,J. Testerman,,,2659000,Absentee,,new,2896 Ventura Blvd,91403,5,5,3580,14000,1963,7,Single Family,33.780549,-118.34574
7397-004-003,2553 Rolling Hills Rd,Torrance,CA,90503,C. Fixture,,,1816000,Owner,,new,2553 Rolling Hills Rd,90503,5,4,4430,14300,1962,21,Single Family,33.822552,-118.344376
7276-039-049,3747 Palos Verdes Dr,Rolling Hills Estates,CA,90274,D. Mockton,,,3197000,Owner,,new,3747 Palos Verdes Dr,90274,5,5,4320,9300,1949,33,Single Family,33.792534,-118.344116
7530-005-043,554 Calle Mayor,Torrance,CA,90503,E. Sampleton,,,1118000,Absentee,,new,7823 Main St,90210,4,3,2530,5400,2016,21,Single Family,33.828186,-118.346863
7284-006-038,3865 Calle Mayor,Redondo Beach,CA,90277,L. Placeholder,,,1244000,Owner,,new,3865 Calle Mayor,90277,3,3,2120,5100,2002,10,Single Family,33.854915,-118.378053
7343-028-037,2530 Silver Spur Rd,Redondo Beach,CA,90277,L. Sample,,,1590000,Owner,,new,2530 Silver Spur Rd,90277,4,4,2520,7000,1950,12,Single Family,33.846154,-118.385223
7893-024-071,2893 Highland Ave,Rancho Palos Verdes,CA,90275,D. Dummett,,,1946000,Owner,,new,2893 Highland Ave,90275,4,4,2960,11400,1956,34,Single Family,33.748891,-118.374365
7970-039-016,453 Rolling Hills Rd,Redondo Beach,CA,90277,H. Sampleton,,,2167000,Owner,,new,453 Rolling Hills Rd,90277,4,4,3100,10300,1986,17,Single Family,33.850186,-118.387995
7960-025-012,4220 Via Campesina,Rolling Hills Estates,CA,90274,E. Fixture,,,2278000,Absentee,,new,863 Main St,94105,4,3,2320,5600,2008,39,Condo,33.804167,-118.367519
7475-010-044,1920 Calle Mayor,Redondo Beach,CA,90277,D. Example,,,2525000,Owner,,new,1920 Calle Mayor,90277,5,4,4330,17400,1999,19,Single Family,33.854641,-118.391197
7820-014-029,1798 Via Campesina,Palos Verdes Estates,CA,90274,L. Stubbs,,,2268000,Owner,,new,1798 Via Campesina,90274,4,3,2810,8600,1955,8,Single Family,33.782792,-118.395645
7517-021-077,3400 Via Campesina,Palos Verdes Estates,CA,90274,K. Sample,,,3010000,Owner,,new,3400 Via Campesina,90274,5,4,3940,14900,1949,37,Single Family,33.776516,-118.383062
7700-036-069,3166 Prospect Ave,Rancho Palos Verdes,CA,90275,B. Fixture,,,2353000,Absentee,,new,1270 Wilshire Blvd,90210,5,5,3660,13800,2011,22,Single Family,33.73911,-118.393005
7186-033-098,4254 Silver Spur Rd,Manhattan Beach,CA,90266,K. Demoworth,,,3927000,Owner,,new,4254 Silver Spur Rd,90266,5,5,4680,15600,2016,5,Single Family,33.89745,-118.421474
7319-012-077,6235 Rolling Hills Rd,Manhattan Beach,CA,90266,D. Dummett,,,3205000,Owner,,new,6235 Rolling Hills Rd,90266,4,4,2680,9100,1951,30,Single Family,33.887989,-118.397984
7538-039-021,5698 Granvia Altamira,Rancho Palos Verdes,CA,90275,B. Placeholder,,,2208000,Owner,,new,5698 Granvia Altamira,90275,5,5,3210,10000,1962,32,Single Family,33.735416,-118.385883
7941-021-014,5744 Deep Valley Dr,Palos Verdes Estates,CA,90274,B. Fixture,,,2468000,Owner,,new,5744 Deep Valley Dr,90274,4,4,2750,7700,2015,19,Single Family,33.780749,-118.396619
7384-005-024,1602 Esplanade,Rancho Palos Verdes,CA,90275,A. Mockton,,,1899000,Owner,,new,1602 Esplanade,90275,4,3,2960,4900,1985,9,Single Family,33.729858,-118.387709
7977-017-029,5371 Aviation Blvd,Manhattan Beach,CA,90266,J. Fixture,,,3135000,Absentee,,new,736 Main St,91403,4,3,2610,6200,1972,15,Condo,33.872741,-118.407854
7231-033-075,4199 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,M. Fixture,,,2337000,Owner,,new,4199 Hawthorne Blvd,90275,5,4,3930,9000,1953,15,Single Family,33.73262,-118.399466
7159-006-008,3026 Granvia Altamira,Rolling Hills Estates,CA,90274,A. Placeholder,,,1941000,Owner,,new,3026 Granvia Altamira,90274,3,2,1950,8400,2012,24,Condo,33.798869,-118.354607
7104-034-050,121 Anza Ave,Torrance,CA,90503,L. Fixture,,,1326000,Owner,,new,121 Anza Ave,90503,4,3,2500,9000,2015,27,Single Family,33.841846,-118.325259
7473-021-006,2804 Aviation Blvd,Redondo Beach,CA,90277,K. Sample,,,1738000,Absentee,,new,3561 Wilshire Blvd,89109,4,3,2350,4300,1961,12,Single Family,33.860228,-118.398998
7489-023-002,5359 Crenshaw Blvd,Redondo Beach,CA,90277,E. Sampleton,,,2636000,Owner,,new,5359 Crenshaw Blvd,90277,5,4,3720,19600,1969,24,Single Family,33.840846,-118.395954
7182-035-047,4503 Rolling Hills Rd,Manhattan Beach,CA,90266,F. Example,,,3330000,Owner,,new,4503 Rolling Hills Rd,90266,5,4,3260,10600,2007,12,Single Family,33.887527,-118.421427
7467-033-021,1468 Rolling Hills Rd,Torrance,CA,90503,F. Example,,,1801000,Owner,,new,1468 Rolling Hills Rd,90503,5,4,4500,10300,1963,34,Condo,33.85078,-118.351859
7408-014-079,2907 Vista Del Mar,Manhattan Beach,CA,90266,E. Example,,,3072000,Owner,,new,2907 Vista Del Mar,90266,3,2,1620,2700,1993,28,Single Family,33.891674,-118.40822
7156-030-085,1072 Rolling Hills Rd,Torrance,CA,90503,F. Sampleton,,,930000,Owner,,new,1072 Rolling Hills Rd,90503,3,2,2000,10400,1956,33,Single Family,33.81992,-118.350221
7959-026-051,1513 Via Campesina,Rolling Hills Estates,CA,90274,K. Example,,,2002000,Owner,,new,1513 Via Campesina,90274,4,3,2470,11700,1993,15,Single Family,33.794718,-118.361548
7908-028-045,3912 Highland Ave,Palos Verdes Estates,CA,90274,H. Demoworth,,,2397000,Owner,,new,3912 Highland Ave,90274,5,5,3350,17600,2010,13,Single Family,33.779548,-118.396153
7784-008-026,1252 Anza Ave,Palos Verdes Estates,CA,90274,J. Mockton,,,3141000,Absentee,,new,4458 Wilshire Blvd,89109,5,4,3450,11400,1993,23,Single Family,33.780331,-118.400736
7595-024-024,4712 Highland Ave,Torrance,CA,90503,M. Fixture,,,1104000,Owner,,new,4712 Highland Ave,90503,4,3,2610,6200,1995,10,Single Family,33.851437,-118.332906
7508-029-084,2855 Prospect Ave,Torrance,CA,90503,M. Stubbs,,,1256000,Owner,,new,2855 Prospect Ave,90503,4,4,2780,14600,1994,22,Single Family,33.832087,-118.323919
7206-033-061,1409 Camino Real,Torrance,CA,90503,J. Example,,,1536000,Owner,,new,1409 Camino Real,90503,5,5,3560,18800,2016,13,Condo,33.8417,-118.344998
7377-029-070,3864 Hawthorne Blvd,Rolling Hills Estates,CA,90274,M. Testerman,,,2665000,Owner,,new,3864 Hawthorne Blvd,90274,5,4,3290,13100,2005,23,Single Family,33.777547,-118.370862
7137-002-005,4902 Granvia Altamira,Redondo Beach,CA,90277,L. Testerman,,,2347000,Owner,,new,4902 Granvia Altamira,90277,5,4,4210,16100,1985,39,Single Family,33.85824,-118.371965
7600-023-030,5671 Vista Del Mar,Rancho Palos Verdes,CA,90275,F. Sampleton,,,1892000,Owner,,new,5671 Vista Del Mar,90275,4,4,3080,12500,2018,6,Single Family,33.727952,-118.389404
7923-023-024,1489 Prospect Ave,Torrance,CA,90503,B. Mockton,,,989000,Owner,,new,1489 Prospect Ave,90503,3,2,1890,8100,1964,5,Single Family,33.826938,-118.348937
7483-034-049,2303 Silver Spur Rd,Redondo Beach,CA,90277,J. Mockton,,,830000,Owner,,new,2303 Silver Spur Rd,90277,2,1,1270,4700,2015,31,Condo,33.831294,-118.376735
7457-022-078,709 Camino Real,Redondo Beach,CA,90277,K. Mockton,,,2011000,Owner,,new,709 Camino Real,90277,4,4,3100,13600,1975,32,Single Family,33.831849,-118.3797
7985-013-096,6596 Deep Valley Dr,Palos Verdes Estates,CA,90274,F. Demoworth,,,2197000,Absentee,,new,1660 Main St,94105,3,2,1890,6000,1982,20,Single Family,33.795252,-118.402548
7680-024-017,5958 Prospect Ave,Manhattan Beach,CA,90266,K. Testerman,,,3567000,Owner,,new,5958 Prospect Ave,90266,5,4,3760,17800,1999,12,Single Family,33.876499,-118.412427
7901-032-079,1224 Hawthorne Blvd,Rolling Hills Estates,CA,90274,C. Placeholder,,,2817000,Owner,,new,1224 Hawthorne Blvd,90274,5,5,3910,7300,2006,41,Single Family,33.786851,-118.373444
7985-020-085,2094 Highland Ave,Palos Verdes Estates,CA,90274,A. Example,,,2679000,Absentee,,new,7877 Main St,91403,5,4,3330,17800,2015,40,Condo,33.795175,-118.398942
7467-025-003,6294 Silver Spur Rd,Torrance,CA,90503,H. Example,,,1470000,Owner,,new,6294 Silver Spur Rd,90503,5,4,3600,14400,1983,29,Single Family,33.82517,-118.329268
7981-011-078,3768 Camino Real,Rancho Palos Verdes,CA,90275,G. Mockton,,,1425000,Owner,,new,3768 Camino Real,90275,3,3,1610,3000,1970,13,Single Family,33.737373,-118.388473
7993-025-078,424 Deep Valley Dr,Rancho Palos Verdes,CA,90275,F. Sampleton,,,2795000,Owner,,new,424 Deep Valley Dr,90275,5,5,3790,9800,2001,40,Single Family,33.759435,-118.38631
7978-015-097,5803 Rolling Hills Rd,Manhattan Beach,CA,90266,K. Example,,,2500000,Absentee,,new,511 Wilshire Blvd,90210,2,1,1400,5300,2008,12,Single Family,33.868662,-118.40446
7604-007-070,6115 Granvia Altamira,Manhattan Beach,CA,90266,D. Mockton,,,4070000,Absentee,,new,6818 Main St,94105,5,4,3660,8800,1999,38,Condo,33.875607,-118.420939
7180-002-098,725 Silver Spur Rd,Rancho Palos Verdes,CA,90275,K. Dummett,,,2132000,Absentee,,new,3005 Ventura Blvd,94105,5,4,3210,13300,1989,20,Single Family,33.742055,-118.390589
7912-003-027,4755 Vista Del Mar,Rancho Palos Verdes,CA,90275,L. Dummett,,,1910000,Owner,,new,4755 Vista Del Mar,90275,4,4,2900,14900,1984,21,Single Family,33.726604,-118.390923
7525-002-070,5341 Aviation Blvd,Torrance,CA,90503,J. Sample,,,1018000,Owner,,new,5341 Aviation Blvd,90503,3,3,1990,5300,1952,1,Single Family,33.824167,-118.341431
7127-001-097,6656 Aviation Blvd,Rancho Palos Verdes,CA,90275,J. Fixture,,,1990000,Owner,,new,6656 Aviation Blvd,90275,4,3,3060,9900,1982,8,Single Family,33.733941,-118.387461
7104-012-075,375 Rolling Hills Rd,Rancho Palos Verdes,CA,90275,G. Demoworth,,,1295000,Absentee,,new,960 Main St,89109,2,1,1460,7800,1951,6,Single Family,33.736346,-118.390307
7610-034-047,5143 Camino Real,Redondo Beach,CA,90277,L. Sample,,,1714000,Absentee,,new,3439 Ventura Blvd,94105,3,3,2200,3600,1990,8,Single Family,33.862058,-118.398487
7675-001-053,1729 Anza Ave,Palos Verdes Estates,CA,90274,E. Demoworth,,,3467000,Owner,,new,1729 Anza Ave,90274,5,4,4540,23200,1954,23,Condo,33.79583,-118.379298
7203-025-007,1125 Crenshaw Blvd,Manhattan Beach,CA,90266,L. Stubbs,,,3595000,Owner,,new,1125 Crenshaw Blvd,90266,5,5,3360,13000,1955,7,Single Family,33.890617,-118.428792
7829-005-056,6363 Aviation Blvd,Rolling Hills Estates,CA,90274,J. Dummett,,,2786000,Owner,,new,6363 Aviation Blvd,90274,5,5,3500,11900,1984,31,Condo,33.783694,-118.368613
